Job Result,Job Creation Time,Job Completion Time,Product Name,Cores,Storage (GB)
FAILURE,7/8/19 8:37,7/8/19 8:41,Product 3,6,40
FAILURE,7/7/19 14:04,7/7/19 14:07,Product 3,6,40
FAILURE,7/7/19 14:03,7/7/19 14:07,Product 3,6,40
FAILURE,7/7/19 14:03,7/7/19 14:07,Product 3,6,40
FAILURE,7/7/19 5:01,7/7/19 5:05,Product 3,6,40
FAILURE,7/7/19 5:01,7/7/19 5:05,Product 3,6,40
FAILURE,7/7/19 5:01,7/7/19 5:05,Product 3,6,40
FAILURE,7/7/19 5:01,7/7/19 5:05,Product 3,6,40
FAILURE,7/6/19 23:51,7/6/19 23:55,Product 3,6,40
FAILURE,7/6/19 23:51,7/6/19 23:55,Product 3,6,40
SUCCESS,7/6/19 23:34,7/6/19 23:44,Product 1,72,9600
CANCELLED,7/6/19 19:08,7/6/19 19:30,Product 1,72,9600
SUCCESS,7/6/19 19:00,7/6/19 19:18,Product 1,144,14400
FAILURE,7/6/19 17:11,7/6/19 17:30,Product 1,144,14400
FAILURE,7/6/19 7:43,7/6/19 7:47,Product 3,6,40
CANCELLED,7/5/19 20:19,7/5/19 20:21,Product 3,6,40
SUCCESS,7/5/19 15:09,7/5/19 16:16,Product 3,6,40
CANCELLED,7/5/19 15:06,7/5/19 15:08,Product 3,6,40
FAILURE,7/5/19 11:01,7/5/19 11:46,Product 5,14,960
FAILURE,7/5/19 7:31,7/5/19 7:35,Product 3,6,40
FAILURE,7/5/19 7:31,7/5/19 7:35,Product 3,6,40
FAILURE,7/5/19 7:31,7/5/19 7:35,Product 3,6,40
CANCELLED,7/4/19 15:09,7/4/19 15:11,Product 2,16,960
CANCELLED,7/4/19 14:17,7/4/19 14:18,Product 2,16,960
FAILURE,7/4/19 14:07,7/4/19 14:10,Product 2,16,960
FAILURE,7/4/19 8:33,7/4/19 8:37,Product 3,6,40
FAILURE,7/4/19 0:57,7/4/19 1:01,Product 3,6,40
FAILURE,7/4/19 0:57,7/4/19 1:01,Product 3,6,40
SUCCESS,7/3/19 20:39,7/3/19 21:46,Product 3,6,40
FAILURE,7/3/19 20:23,7/3/19 20:28,Product 3,6,40
FAILURE,7/3/19 1:01,7/3/19 1:05,Product 3,6,40
SUCCESS,7/2/19 22:17,7/2/19 22:54,Product 2,16,960
FAILURE,7/2/19 22:16,7/2/19 22:19,Product 1,72,9600
SUCCESS,7/2/19 22:14,7/2/19 22:50,Product 2,16,960
FAILURE,7/2/19 22:08,7/2/19 22:11,Product 1,144,14400
FAILURE,7/2/19 17:19,7/2/19 17:23,Product 3,6,40
CANCELLED,7/2/19 12:59,7/2/19 13:03,Product 5,14,960
FAILURE,7/2/19 12:19,7/2/19 12:23,Product 3,6,40
FAILURE,7/1/19 3:03,7/1/19 3:06,Product 3,6,40
FAILURE,6/30/19 21:45,6/30/19 21:48,Product 3,6,40
FAILURE,6/30/19 18:17,6/30/19 18:21,Product 3,6,40
FAILURE,6/29/19 4:51,6/29/19 5:13,Product 3,6,40
FAILURE,6/29/19 4:50,6/29/19 5:12,Product 3,6,40
FAILURE,6/29/19 4:50,6/29/19 5:12,Product 3,6,40
SUCCESS,6/29/19 2:14,6/29/19 3:04,Product 4,48,2400
FAILURE,6/29/19 1:49,6/29/19 2:56,Product 3,6,40
FAILURE,6/29/19 1:42,6/29/19 1:57,Product 3,6,40
FAILURE,6/29/19 1:37,6/29/19 1:43,Product 3,6,40
FAILURE,6/29/19 0:42,6/29/19 1:02,Product 4,48,2400
FAILURE,6/28/19 23:33,6/29/19 0:17,Product 4,48,2400
FAILURE,6/28/19 23:03,6/28/19 23:26,Product 3,6,40
FAILURE,6/28/19 23:02,6/28/19 23:25,Product 3,6,40
FAILURE,6/28/19 23:01,6/28/19 23:14,Product 3,6,40
FAILURE,6/28/19 22:46,6/28/19 23:31,Product 4,48,2400
SUCCESS,6/28/19 22:38,6/28/19 23:50,Product 3,6,40
CANCELLED,6/28/19 16:23,6/28/19 16:41,Product 3,6,40
CANCELLED,6/28/19 15:28,6/28/19 16:23,Product 3,6,40
CANCELLED,6/28/19 5:38,6/28/19 15:15,Product 3,6,40
CANCELLED,6/28/19 4:57,6/28/19 5:38,Product 3,6,40
FAILURE,6/28/19 3:31,6/28/19 4:21,Product 3,6,40
FAILURE,6/28/19 2:36,6/28/19 2:46,Product 3,6,40
FAILURE,6/28/19 2:19,6/28/19 2:29,Product 3,6,40
FAILURE,6/28/19 2:19,6/28/19 2:29,Product 3,6,40
FAILURE,6/28/19 2:19,6/28/19 3:08,Product 3,6,40
FAILURE,6/28/19 2:10,6/28/19 2:59,Product 3,6,40
FAILURE,6/27/19 22:17,6/27/19 23:45,Product 3,6,40
SUCCESS,6/27/19 21:01,6/27/19 21:40,Product 2,16,960
FAILURE,6/27/19 16:25,6/27/19 16:28,Product 3,6,40
SUCCESS,6/27/19 16:01,6/27/19 16:41,Product 2,16,960
CANCELLED,6/27/19 15:21,6/27/19 15:25,Product 2,16,1920
FAILURE,6/27/19 15:15,6/27/19 15:19,Product 3,6,40
FAILURE,6/27/19 14:51,6/27/19 14:54,Product 3,6,40
CANCELLED,6/27/19 14:07,6/27/19 14:09,Product 5,14,960
CANCELLED,6/27/19 14:01,6/27/19 14:01,Product 5,14,960
CANCELLED,6/27/19 10:45,6/27/19 10:45,Product 5,14,960
CANCELLED,6/27/19 5:53,6/27/19 5:55,Product 5,14,960
CANCELLED,6/26/19 10:39,6/26/19 10:40,Product 5,14,960
CANCELLED,6/26/19 9:23,6/26/19 9:24,Product 2,16,960
CANCELLED,6/26/19 8:59,6/26/19 9:16,Product 5,14,960
CANCELLED,6/26/19 8:55,6/26/19 9:15,Product 2,16,960
CANCELLED,6/26/19 8:47,6/26/19 9:14,Product 5,14,960
FAILURE,6/25/19 16:39,6/25/19 16:43,Product 1,72,16800
FAILURE,6/25/19 16:36,6/25/19 16:40,Product 1,72,16800
CANCELLED,6/24/19 19:32,6/24/19 19:33,Product 1,72,16800
CANCELLED,6/24/19 15:39,6/24/19 15:43,Product 1 ,72,4800
CANCELLED,6/23/19 22:23,6/23/19 22:24,Product 1 ,48,2400
SUCCESS,6/22/19 9:49,6/22/19 10:38,Product 5,14,960
FAILURE,6/21/19 19:18,6/21/19 19:48,Product 2,32,4800
SUCCESS,6/20/19 23:14,6/20/19 23:28,Product 4,120,14400
FAILURE,6/20/19 16:57,6/20/19 17:06,Product 4,120,14400
FAILURE,6/20/19 15:49,6/20/19 16:13,Product 4,120,14400
SUCCESS,6/20/19 15:47,6/20/19 16:51,Product 4,168,7200
FAILURE,6/19/19 23:15,6/19/19 23:32,Product 1 ,144,96000
SUCCESS,6/19/19 1:11,6/19/19 1:52,Product 2,16,960
SUCCESS,6/18/19 23:45,6/18/19 23:55,Product 2,16,960
FAILURE,6/18/19 20:56,6/18/19 23:10,Product 2,16,960
FAILURE,6/18/19 20:43,6/18/19 20:47,Product 2,16,960
CANCELLED,6/18/19 20:17,6/18/19 20:21,Product 2,16,960
CANCELLED,6/18/19 19:37,6/18/19 19:37,Product 4,48,2400
